biography,n. 传记
corset,"n. 紧身褡, 妇女的胸衣
"
woollen,"n. 毛织品
a. 羊毛制的"
shawl,"n. 披肩, 围巾
vt. 用披肩裹"
tattoo,"n. 归营号, 连续有节奏的敲击, 文身, 矮种马
vt. 连续有节奏地敲, 刺花纹于
vi. 作连续有节奏的敲击"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
overweight,"n. 超过重量, 过重, 优势
a. 超过重量的, 超重的
vt. 使超重, 重于, 过于重视"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
die out,"熄灭, 平息, 消失"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
conscience,"n. 良心
"
inner,"a. 内部的, 内心的
n. 内部"
subjective,"a. 主观的, 个人的
"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
tasteless,"a. 没味道的, 无鉴赏力的"
botany,"n. 植物学
"
skateboard,n. 溜冰板
symphony,"n. 交响乐, 交响曲"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
tune,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
dignity,"n. 尊严, 高贵
"
polished,"a. 擦亮的, 优雅的, 精良的"
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
"
sentimental,"a. 感伤的, 感情用事的"
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
chorus,"n. 合唱队, 齐声
v. 齐声说道, 合唱"
tendency,"n. 趋向, 倾向
"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
lyrics,n. 歌词
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
disturbing,"a. 引起烦恼的, 令人不安的"
version,"n. 一种描述, 版本, 译文
"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
Christian,"n. 基督徒, 正派人
a. 基督的, 基督教的"
endless,"a. 不停的, 无穷尽的, 无尽的
"
freezing,"a. 冰冻的, 冷冻用的, 严寒的
"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
tranquil,a. 安静的
hoarfrost,n. 白霜
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
homesickness,n. 乡愁
drown,"vi. 淹死
vt. 把...淹死, 淹没"
vague,"a. 含糊的, 不清楚的, 茫然的"
hoof,"n. 蹄, (人的)脚
vt. 以蹄踢, 行走, 步行
vi. 走, 踢, 踏"
stout,"a. 结实的；矮胖的；勇敢的；激烈的
n. 矮胖子；烈性啤酒"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
oval,"n. 椭圆形
a. 卵形的, 椭圆形的"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
jerk,"n. 性情古怪的人, 急拉, 肌肉抽搐, 牛肉干
vi. 痉挛, 急拉, 急推
vt. 猛拉"
chimney,"n. 烟囱, 灯罩
"
sleigh,"n. 雪撬
vt. 用雪撬搬运
vi. 乘雪撬"
thistle,n. 蓟
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
convey,"vt. 传达, 运输, 转让
"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
theme,"n. 主题, 话题, 题目"
manner,"n. 样子, 礼貌, 风格
"
drawback,"n. 缺点, 退税
"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
striking,"a. 醒目的, 惊人的, 打击的, 罢工的
"
evident,"a. 显然的, 明显的"
cute,"a. 可爱的, 聪明的, 伶俐的
"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
recommendation,"n. 推荐, 介绍, 推荐信, 劝告
"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
DJ,"abbr. 〈美(=Dow Jones & Co)道琼斯公司
n. （电台、电视台、夜总会）唱片节目主持人（全写为 disc jockey）
v. 做音乐节目主持人（尤指在夜总会）
"
hang on a second,无
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
bits and pieces,零碎
childish,"a. 天真的, 孩子气的"
