forthright,"adv. 直率地, 直接地, 马上, 立即
a. 直接的, 直率的, 坦白的
n. 直路"
impecunious,"a. 没有钱的, 身无分文的, 贫穷的"
jaundiced,"a. 患黄疸病的, 有偏见的, 嫉妒的"
mercenary,"n. 唯利是图者, 雇佣兵
a. 为钱而工作的, 被雇的, 图利的"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
oust,"vt. 逐出, 罢黜, 剥夺, 驱逐
"
parsimonious,"a. 过度节俭的, 吝啬小气的"
pejorative,"a. 贬损的, 轻蔑的
n. 轻蔑语, 贬义词"
precept,"n. 规诫, 规矩, 格言, 训令
"
bereft,"a. 缺少的, 丧失的, 失去亲人的
bereave的过去式和过去分词"
criterion,"n. 标准, 准则, 规范
"
deride,"vt. 嘲弄, 嘲笑"
effrontery,n. 厚颜无耻
espouse,"vt. 支持, 赞成, 嫁, 娶
"
hypocrisy,"n. 伪善
"
impending,"a. 即将发生的, 迫切的, 悬空的
"
incensed,"a. 愤怒的, 激怒了的"
pertinent,"a. 相关的, 中肯的, 切题的
"
promulgate,"vt. 发布, 公布, 发表, 传播
"
proscribe,"vt. 剥夺...的公民权, 使失去法律保护, 把...充军, 把...放逐, 排斥, 禁止"
redress,"n. 赔偿, 补救, 矫正
vt. 纠正, 赔偿, 救济"
regime,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
"
retribution,"n. 报应, 惩罚, 报酬
"
substantiate,"vt. 使实体化, 证实
"
aegis,"n. 羊皮盾, 保护, 庇护, 赞助, 支持
"
bauble,"n. 美观而无价值的东西, 玩具, 小玩意"
complaisant,"a. 谦恭的, 殷勤的, 顺从的"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
depredation,"n. 掠夺, 破坏"
epiphany,"n. 主显节, 出现"
moratorium,"n. 延期偿付, 暂停
"
pendulous,"a. 下垂的, 摇摆的, 摇摆不定的, 动荡的
"
portend,"vt. 成为...的前兆, 预知, 给与...的警告"
pragmatic,"a. 忙碌的, 爱管闲事的, 自负的, 固执己见的, 实际的, 务实的, 国事的, 国务的
"
reprieve,"n. 缓刑, 缓刑令, 暂缓
vt. 暂时解救, 缓期执行"
stentorian,a. 声音洪亮的
tenure,"n. 享有, 保有期
"
unilateral,"a. 单方面的, 单边的, 片面的
"
viable,"a. 能养活的, 能生长发育的
"
ambidextrous,"a. 两手俱利的, 搞两面派的
"
antipathy,"n. 厌恶, 反感
"
deleterious,"a. 有害的, 造成伤害的
"
excoriate,"vt. 剥皮, 擦破皮肤, 严厉的责难"
extrapolate,"v. 推断, 外推"
grisly,"a. 可怕的, 厉害的, 令人畏惧的"
idiosyncrasy,"n. 气质, 特性, 风格
"
impute,"vt. 归罪, 使负责, 嫁祸于"
maladroit,"a. 笨拙的, 拙劣的, 愚钝的"
negate,"vt. 否定, 否认, 取消
"
passé,无
pedagogue,"n. 小学教师, 教员, 学究"
preponderance,"n. 优势, 多数
"
propound,"vt. 提出供考虑
"
stance,"n. 准备击球姿势, 站立的姿势, 位置, 姿态
"
