brigade,"n. 旅, 队
"
pitfall,"n. 陷阱, 诱惑, 阴谋, 易犯的错误, 意想不到的困难"
precedence,"n. 优先, 居先
"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
proportional,"a. 比例的, 相称的
n. 比例项"
receptivity,"n. 感受性, 接受能力"
relinquish,"vt. 放弃, 撤回, 停止, 松开, 让与
"
repository,"n. 贮藏所, 贮物器, 仓库, 博物馆, 店铺, 陈列室, 资源丰富地区, 墓地, 亲信, 知己
"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
scathing,"a. 伤害的, 损伤的, 严厉的"
stigma,"n. 耻辱, 污名, 烙印
"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
unethical,a. 不道德的
yoga,n. 瑜珈
live up to,"实践, 做到"
go out of one's way,"特地, 不怕麻烦, 故意"
go out of one's way to do sth.,无
adrift,"adv. 漂流地, 漂浮着, 随波逐流地
a. 漂浮着的"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
clog,"n. 障碍, 脚坠
v. 障碍, 阻塞"
crave,"v. 渴望, 热望, 恳求"
growl,"n. 吠声, 咆哮声
v. 怒吠, 咆哮, 吼"
gunwale,n. 船舷上缘
guts,"n. 飞碟游戏（比赛双方每组5人, 相距15码, 互相掷接飞碟）；内脏；狭道；[口语]贪食者（gut的复数）"
heft,"n. 重量, 影响, 重要性
vt. 举起试重量, 举起
vi. 称重量"
mirage,"n. 海市蜃楼, 幻景, 妄想"
paralysis,"n. 麻痹, 停顿, 瘫痪
"
ration,"n. 定额, 定量, 配给
vt. 配给, 定量供应"
scorch,"n. 烧焦, 枯萎
v. 烧焦, 拷焦, (使)枯萎, 讽刺"
sprawl,"vi. 伸开手足躺, 爬行, 蔓生, 蔓延
vt. 懒散地伸开, 使蔓生, 使不规则地伸展
n. 伸开手足躺卧姿势"
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
sunken,"a. 沉没的, 下凹的
sink的过去分词"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
taunt,"n. 辱骂, 嘲弄
vt. 嘲弄, 奚落
a. 很高的"
doze off,不知不觉地睡着了
keel over,"倾覆, 翻身"
academia,"n. 学术界, 学术生涯"
balmy,"a. 芳香的, 温和的, 止痛的
"
cello,n. 大提琴
clout,"n. 敲击, 破布
vt. 打补钉"
corral,"n. 畜栏
vt. 把...关进畜栏"
culprit,"n. 犯人, 罪犯, 刑事被告
"
fundraiser,n. 资金筹集活动; 筹款人
grueling,"a. 折磨人的, 使人精疲力尽的
n. 痛打, 惩罚"
instantaneous,"a. 即时的, 瞬间的, 猝发的
"
onerous,"a. 繁重的, 负有法律责任的
"
onslaught,"n. 突击, 猛击, 猛攻"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头
vt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索
vi. 收缩, 节省, 挤压, 引起苦恼"
preordain,"vt. 注定, 预先决定"
