quiescent,"a. 静止的, 不活动的, 寂静的
"
rarefied,"a. 变成稀薄的, 纯化的, 精炼过的, 崇高的"
recalcitrant,"a. 反抗的, 反对的, 顽抗的
n. 反抗者, 顽抗者"
recant,"vt. 放弃
vi. 放弃信仰, 撤回声明, 公开认错"
recondite,"a. 深奥的, 难解的, 隐藏的"
refractory,"a. 不听话的, 执拗的, 难治疗的, 耐火的
"
refute,"vt. 反驳, 驳斥；驳倒"
relegate,"vt. 驱逐, 使降低地位, 把...归类, 把...委托给
"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
reprobate,"n. 堕落的人, 恶棍, 被神遗弃的人
a. 堕落的, 邪恶的
vt. 斥责, 非难, 拒绝"
repudiate,"vt. 声明离婚, 拒绝, 拒付, 拒绝履行
"
rescind,"vt. 废止, 使无效, 取消, 撤消, 解除
"
resolute,"n. 果断的人
a. 坚决的, 刚毅的, 毅然的"
resolved,"a. 下定决心的, 断然的"
reticent,"a. 无言的, 沉默的, 不情愿的
"
reverence,"n. 尊敬, 敬重, 敬礼, 尊严, 威望
vt. 崇敬, 敬畏, 尊敬"
sage,"n. 圣人, 哲人, 鼠尾草属植物
a. 贤明的, 明智的"
salubrious,"a. 有益健康的, 健康的
"
salutary,"a. 有益的, 有用的, 有益健康的
"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
sartorial,"a. 裁缝匠的, 缝工的, 裁缝的"
satiate,"vt. 使饱足, 使厌腻, 充分满足
a. 饱足的, 厌腻的"
sensual,"a. 肉欲的, 感觉的, 感觉论的"
sensuous,"a. 感觉上的, 使感官以快感的, 敏感的"
sentient,"a. 有感觉力的, 意识到的
n. 有知觉的人"
skeptic,"n. 怀疑者, 怀疑论者, 不可知论者"
solicitous,"a. 关心的, 渴望的, 热切期望的, 十分讲究的"
soporific,"a. 催眠的, 想睡的, 令人麻木不仁的
n. 催眠剂, 安眠药"
specious,"a. 徒有其表的, 似是而非的, 外表美观的"
sporadic,"a. 偶尔发生的, 零星发生的, 分散的
"
stigma,"n. 耻辱, 污名, 烙印
"
stipulate,"v. 规定, 保证"
stolid,"a. 缺乏热情的, 神经麻木的"
striated,"a. 有条纹的, 有线纹的
"
substantiate,"vt. 使实体化, 证实
"
subsume,"vt. 把...归入, 把...纳入, 把...列入某一类, 把...归类"
supersede,"vt. 代替, 取代, 接替
"
supposition,"n. 想像, 推测, 推想
"
tacit,"a. 沉默寡言的, 不苟言笑的, 缄默的"
taciturn,"a. 沉默寡言的, 不太说话的, 无言的"
tangential,"a. 切线的, 相切的, 正切的, 离题的, 扯远的
"
tenuous,"a. 稀薄的, 微细的, 纤细的, 脆弱的
"
tirade,n. 激烈的长篇演说
torpor,"n. 麻木, 无感觉, 迟钝
"
tortuous,"a. 扭曲的, 弯曲的, 转弯抹角的, 欺骗的
"
tractable,"a. 驯服的, 易于管教的
"
transgression,"n. 违反, 犯罪
"
truculence,"n. 野蛮, 粗暴, 好战"
turgid,"a. 肿的, 浮夸的
"
untenable,"a. 不能防守的, 不能维持的, 支持不住的, (主张等)站不住脚的"
vacillate,"vi. 游移不定, 踌躇, 犹豫, 摇摆"
vapid,"a. 乏味的, 走了气味的, 无生气的, 无趣味的"
venerate,"vt. 尊敬, 崇敬, 崇拜"
veracious,"a. 说实话的, 诚实的, 老实的, 真实的"
verbose,"a. 用字多的, 冗长的, 累赘的
"
viable,"a. 能养活的, 能生长发育的
"
viscous,"a. 粘的, 粘性的
"
vitiate,"vt. 使变质, 污染, 使堕落, 败坏, 使失效
"
vituperative,"a. 责骂的, 叱责的"
volatile,"a. 挥发性的, 可变的, 不稳定的, 飞行的, 轻快的, 爆炸性的
n. 有翅动物, 挥发物
"
whimsical,"a. 怪念头多的, 反复无常的, 古怪的, 异想天开的"
zealot,"n. 热心者, 狂热者, 犹太教狂热信徒
"
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
abdicate,"vt. 正式放弃
vi. 退位, 退出, 辞职"
aberrant,"a. 偏离正路的, 偏离常轨的, 畸变的
"
abeyance,"n. 中止, 暂搁, 停止, 归属待定
"
abject,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的
"
abjure,"vt. 发誓断绝, 公开放弃
"
abscission,"n. 切断, 除去
"
abscond,"vi. 潜逃, 逃匿
"
abstemious,"a. 有节制的, 节约的"
abstinence,"n. 节制, 禁欲, 戒酒
"
abysmal,"a. 深不可测的, 无底的"
accretion,"n. 自然增大, 添加, 添加物, 连生
"
accrue,"vi. 自然增加, 产生
"
adamant,"n. 坚硬的东西
a. 非常坚硬的, 坚强的, 固执的"
adjunct,"n. 附属物, 附件, 助手, 修饰语
a. 附属的"
admonish,"vt. 警告, 劝告, 训诫, 告诫"
adulterate,"vt. 掺杂
a. 掺假的, 假的, 通奸的"
aesthetic,"a. 美学的, 审美的, 有美感的"
affected,"a. 假装的, 做作的, 受影响的"
affinity,"n. 吸引, 姻亲关系, 类同
"
aggrandize,"vt. 增加, 夸大"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
alacrity,"n. 敏捷, 轻快, 乐意"
alchemy,"n. 炼金术, 魔力
"
allay,"vt. 使平静, 使缓和"
alleviate,"vt. 减轻, 使缓和"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
allure,"vt. 引诱, 吸引
n. 魅力, 诱惑力"
amalgamate,"v. 使汞齐化, 合并"
ambiguous,"a. 不明确的, 模棱两可的
"
ambivalence,"n. 矛盾情绪
"
ambrosia,"n. 仙果, 特别美味的食物
"
ameliorate,"v. 改善, 改良, 改进"
amenable,"a. 服从的, 会接纳的, 有义务的
"
amenity,"n. 便利设施, 适意, 礼仪
"
amulet,n. 护身符
anachronism,"n. 时代错误, 不合潮流的人(物)
"
analgesic,"a. 止痛的, 痛觉缺失的
n. 止痛剂"
analogous,"a. 类似的, 相似的
"
anarchy,"n. 无政府状态, 政治混乱
"
anodyne,"n. 止痛药, 镇痛剂
a. 止痛的"
anomalous,"a. 不规则的, 反常的
"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
antediluvian,"a. 大洪水前的, 陈旧的, 过时的
n. 大洪水以前的人, 老迈的人"
antipathy,"n. 厌恶, 反感
"
apathy,"n. 无感情, 无兴趣, 冷漠
"
apex,"n. 顶, 尖端, 最高潮
"
apogee,"n. 远地点, 最高点, 极点
"
apothegm,"n. 格言, 箴言"
appease,"vt. 抚慰, 缓解, 平息, 姑息
"
appellation,"n. 名称, 称号
"
apposite,"a. 贴切的, 合适的"
apprise,vt. 通知
approbation,"n. 认可, 满意
"
appropriate,"a. 适当的
"
apropos,"a. 适当的, 恰好的
adv. 适当地, 恰好地"
arabesque,n. 阿拉伯式花饰
archeology,n. 考古学
ardor,"n. 热忱, 热情, 情欲, 激情, 灼热
"
arduous,"a. 费力的, 努力的, 险峻的"
argot,"n. 行话, 俚语, 黑话"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
artifact,"n. 人工制品
"
artless,"a. 无虚饰的, 单纯的, 自然的"
ascetic,"n. 苦行者, 禁欲者, 修道者
a. 苦行的, 禁欲的"
asperity,"n. 粗暴, 严酷, 粗糙"
aspersions,"(aspersion 的复数) n. 诽谤, 中伤, 洒水
"
assiduous,"a. 勤勉的, 刻苦的"
assuage,"vt. 平息, 缓和, 减轻"
astringent,"n. 收敛剂
a. 收敛性的, 严厉的, 涩的"
asylum,"n. 庇护, 收容所
"
atavism,"n. 隔代遗传, 返祖现象
"
attenuate,"a. 纤细的, 稀薄的, 稀释的
vt. 使减弱, 使纤细
vi. 变稀薄, 变纤细, 减少
"
audacious,"a. 大胆的, 鲁莽的, 胆大妄为的"
austere,"a. 严峻的, 禁欲的, 简朴的"
autonomous,"a. 自治的
"
avarice,n. 贪婪
aver,"vt. 断言, 坚称
"
avocation,"n. 副业, 嗜好
"
avuncular,"a. 叔伯的, 叔伯似的"
axiomatic,a. 自明的
bacchanalian,"a. 酒神节的, 狂饮作乐的"
banal,"a. 平凡的, 陈腐的"
banter,"n. 戏谑, 嘲弄
v. 戏弄, 开玩笑"
bard,"n. 吟游诗人, 诗人"
bawdy,"a. 淫秽的, 言语猥亵的"
beatify,"vt. 赐福给, 行宣福礼"
bedizen,vt. 俗丽地打扮(或装饰)
behemoth,n. 庞然大物
belie,"vt. 掩饰, 与...不符, 使失望"
beneficent,"a. 仁慈的, 慈善的, 善行的"
bifurcate,"v. (使)分叉
a. 分双叉的"
blandishment,"n. 甜言蜜语, 谄媚, 奉承"
blasé,无
bolster,"n. 支持, 长枕
vt. 支持, 支撑"
bombastic,"a. 夸大的, 夸夸其谈的"
boorish,"a. 粗野的, 粗鄙的"
bovine,a. 牛的；似牛的；迟钝的
brazen,"a. 黄铜制的, 厚颜无耻的
vt. 厚脸皮地对待"
broach,"n. 烧肉叉, 凿子, 钻头
vt. 用凿子修琢(石块), 钻孔
vi. 露出水面"
