lunar calendar,阴历
meteorite,"n. 陨星
"
meteorite impact,陨[石撞]击作用
nebula,"n. 星云, 角膜云翳
"
nebular,a. 星云的
outer space,"n. 太空, 外层空间"
planetary system,行星系
solar,"a. 太阳的, 日光的, 源自太阳的
"
solar system,"太阳系
"
solar radiation,[医] 日光照射
space station,[计] 空间站
star cluster,星团
sun's rays,太阳光
twinkle,"n. 闪烁, 闪耀, 瞬息
vi. 闪烁
vt. 使闪耀"
wormhole,"n. 蛀孔, 蛀洞"
population,"n. 人口, 人口数
"
population distribution,人口分布
populate,"vt. 使人口聚居在...中, 殖民于, 移民于, 居住于, 定居于"
locality,"n. 地方, 所在, 位置
"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
location,"n. 位置, 场所, 特定区域
"
transportation,"n. 运输, 输送, 交通车辆
"
public transportation,"公共交通, 公共运输；公共交通工具"
transportation system, 运输系统
transportation network,[计] 传输网络
transit,"n. 经过, 通行, 运输, 运输线, 转变
vt. 运送, 使通过, 经过
vi. 通过"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置
"
garbage disposal, 垃圾处置
at one's disposal,[法] 自由处置
get rid of,"摆脱, 除去"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
refuse collection,垃圾收集
garbage,"n. 垃圾, 废物
"
rubbish,"n. 废物, 垃圾, 胡说"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
aircraft,"n. 航空器, 飞机
"
aircraft maintenance,航空器（飞机）修护；航空器（飞机）维护
airliner,"n. 班机, 大型客机"
civil aviation,[经] 民用航空
commercial jet,[网络] 商业喷气客机；商用飞机
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
cruise ship, 大型游轮
ferryboat,n. 渡船
rowboat,n. 划艇
vessel,"n. 船, 容器, 脉管
"
ocean-going vessel,"un. 海轮；远洋船
"
yacht,"n. 快艇, 游艇
vi. 驾游艇, 乘游艇"
automobile,"n. 汽车
"
automotive,a. 汽车的
bicycle,n. 自行车
electric bicycle,[车辆] 电动自行车
caravan,"n. 旅行队, 有篷顶的大车
"
electric tram,无
hybrid car,"na. (既有电池发动机又有汽油发动机的)双动力汽车
"
lorry,"n. 卡车, 货车
"
lorry crane,无
motor,"n. 马达, 发动机, 原动力, 汽车
a. 马达的, 发动机的, 汽车的, 发动的
vt. 推动, 以汽车载运
vi. 乘汽车, 驾车"
motorcycle,"n. 摩托车
"
motorcycle lane,无
tricycle,n. 三轮车
motor tricycle,[机] 机动三轮车
truck,"n. 卡车, 货车, 对...进行交易, 来往, 实物工资, (供应市场的)蔬菜, 废物, 废话
vt. 对...进行交易, 交往, 以卡车运输
vi. 驾驶卡车, 以物易物"
garbage truck,n. 垃圾车
van,"n. 货车, 篷车, 先锋, 前驱, 前卫
vt. 用货车搬运
"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
wagon,"n. 四轮马车, 货车
"
acid rain,酸雨
alternative energy,n. 替代能源
biodegradable,a. 能进行生物降解的
biodegradable packaging,无
carbon emission,n. 二氧化碳排放量
climatic deterioration,气候恶化
contaminated soil,受污土壤
deteriorate,v. (使)恶化
deterioration,"n. 恶化, 衰退, 退化
"
ecological degradation,无
environmental awareness,环境保护意识
groundwater,n. 地下水
groundwater contamination,地下水污染
land resource,土地资源
low carbon, 低碳的
mineral resource,"矿物资源, 矿产资源"
plastic bag,[化] 塑料袋
pollutant,"n. 污染物质
"
pollutant emission,污染发散物
radioactive,"a. 放射性的, 有放射能的
"
radioactive substance,
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
reduction,"n. 减少, 缩影, 变化
"
renewable,"a. 可更新的, 可恢复的, 可继续的, 可换新的, 可重复的, 可重说的
"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
reuse,"vt. 再使用
n. 重新使用"
reusable,"a. 可以再度使用的
"
solar energy,[医] 太阳能
sustainable,"a. 足可支撑的, 养得起的, 可以忍受的"
sustainable development, 可持续发展
water conservation, 水利
white pollution,[网络] 白色污染；噪音污染；净化
wind energy,风能
worsen,"vt. 使更坏, 使恶化
vi. 变得更坏, 恶化"
worse,"n. 更坏的事, 更恶劣的事, 败局
a. 更坏的, 更恶劣的
adv. 更坏地, 更恶劣地"
perfectly,"adv. 完全地, 无瑕疵地, 完整地"
faultlessly,"adv. 完美地, 无缺点地"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
perfection,"n. 完美, 完成, 极端
"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
string sth. out,"na. (使)节目拖长；行列长达
"
thread,"n. 线, 丝, 纤维, 线索
vt. 穿线于, 穿过, 通过, 用线穿成
vi. 穿过
"
individually,"adv. 以个人身分, 各个地, 独特地"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
individuality,"n. 个性, 个人, 特征"
individualism,"n. 个人主义, 个人特征
"
individualize,"vt. 使个体化, 使有个人特色, 使具有个性, 使适应个别需要"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
accessorize,"vt. 附加, 补充
vi. 穿戴装饰品"
bangle,"n. 手镯, 脚镯"
gold bangle,无
bracelet,"n. 手镯
"
jade bracelet, 玉钏
brooch,"n. 胸针, 领针"
pin,"n. 大头针, 针, 别针, 栓, 销子, 图钉, 插头, 管脚, 品(液量单位)
vt. 将...用针别住, 钉住, 压住, 牵制, 使不能动, 归罪于
a. 针的, 销子的, 闩的"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
a lucky charm,无
earring,"n. 耳环, 耳饰"
pearl earring,[网络] 珠耳环；珍珠耳饰；黑珍珠耳环
diamond earring,无
jewellery box,[网络] 首饰盒；珠宝盒；首饰收纳盒
lace,"n. 饰带, 花边, 缎带, 鞋带
vt. 结带子, 饰以花边
vi. 系带子
"
lace up,na. 用带子束
pendant,"n. 垂饰, 下垂物, 补充的东西, 补编
"
top pendant,[网络] 吊重短索
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
key ring,钥匙圈
sweater chain,无
trinket,"n. 小件饰物, 无价值的琐碎东西, 小玩意儿"
cheap trinkets,无
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
amber,"n. 琥珀, 琥珀色
a. 琥珀色的, 琥珀似的"
amethyst,"n. 紫水晶, 紫蓝色宝石
"
bead,"n. 珠子, 滴
vt. 用珠装饰
vi. 形成珠
"
beaded,a. 珠状的；饰以珠的
beading,"n. 起泡, 泡沫
"
carat,"n. 克拉
"
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
crystalize,v. 明确
diamond,"n. 钻石, 菱形
"
genuine diamond,无
emerald,"n. 翡翠, 绿宝石, 翠绿色
a. 翡翠的, 翠绿色的"
fine silver,[经] 纯银
gem,"n. 珠宝, 宝石, 珍贵之物
vt. 饰以宝石"
jewelry,"n. 珠宝, 珠宝类"
gold,"n. 黄金, 钱财, 金块, 金色, 宝贵
a. 金的, 似金的, 金色的, 金制的"
white gold,[医] 白合金
heart,"n. 心, 心脏, 中心, 内心, 感情, 精神, 心情, 宝贝儿
vt. 鼓励"
jade,"n. 玉, 翡翠, 老马
a. 绿色的, 玉制的
v. (使)疲倦"
jade article,玉器
jewel craft,无
karat,n. 开(金等贵金属单位)
leaf,"n. 叶, 树叶, 花瓣, 页
vi. 生叶, 翻书页
vt. 在...上长叶, 翻...的页"
oval,"n. 椭圆形
a. 卵形的, 椭圆形的"
palladium,"n. 钯
"
pearl,"n. 珍珠, 珠灰色, 杰出者, 珍贵之物
vt. 用珍珠镶, 使成珠状
vi. 成珠子状, 采珍珠, 用珍珠做"
plated,"a. 镀金的, 装甲的, 被覆镀的"
platinum,"n. 白金, 铂, 银灰色
"
purity,"n. 纯净, 纯正, 纯粹
"
purification,"n. 纯化, 提纯, 涤罪
"
ruby,"n. 红宝石, 深红色
a. 红宝石色的, 深红色的
vt. 使带红宝石色
"
sapphire,"a. 天蓝色的
n. 蓝宝石, 刚玉宝石, 天蓝色"
silver,"n. 银, 银币, 银器
a. 银的, 银制的, 银器的
vt. 镀银
vi. 变银白色"
sterling silver,n. 标准纯银（纯度为92。5%）
teardrop,"n. 泪珠, 泪珠状物"
titanium,"n. 钛
"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
take wing,"起飞, 飞走"
billboard design,无
blog marketing,无
brand expansion,[网络] 品牌推广；活动展会推广；品牌扩张
